Hospital,Latitude,Longitude,VL_Facility_Type,New_Latitude,New_Longitude
Defence Hospital,11.5916,37.32807,Diagnosis and Treatment,9.01312,38.72404
Mega Hospital,4.07726,38.31834,Diagnosis and Treatment,4.077312,38.318316
Oromia Health Bureau Moyale General Hospital,3.555412552,39.03352995,Diagnosis and Treatment,3.55521,39.03351
Ginner Hospital ,,,Diagnosis and Treatment,6.84857,41.22916
Negele Borena Hospital,5.32561,39.57169,Diagnosis and Treatment,5.33149,39.57449
Yabelo Hospital,4.89541,38.09213,Diagnosis and Treatment,4.89541,38.09213
Arbaminch Hospital,6.0283,37.55019,Diagnosis and Treatment,6.0283,37.55019
Jinka Hospital,5.78207,36.56342,Diagnosis and Treatment,5.78176,36.56339
Karat Primary Hospital,8.99725,38.78675,Diagnosis and Treatment,5.35231,37.44039
Tefera Hailu Mémorial Hospital,12.62128,39.03407,Diagnosis and Treatment,12.62128,39.03407
Metema Hospital,12.76942,36.40821,Diagnosis and Treatment,12.77544,36.41211
Gondar Hospital,12.617052,37.451439,Diagnosis and Treatment,10.55273,37.5074
Adiss Zemen Hospital,12.12186,37.76942,Diagnosis and Treatment,12.12186,37.76942
Addis alem Hospital,11.59602,37.41658,Diagnosis and Treatment,11.59597,37.4166
Tsegede Hospital,,,Diagnosis and Treatment,13.6436,36.85959
Humera General Hospital,14.2809252,36.6140048,Diagnosis and Treatment,14.28081,36.61386
Ayder Comprehensive Specialized Hospital,13.508859,39.470094,Diagnosis and Treatment,13.508859,39.470094
St Mary Hospital,,,Diagnosis and Treatment,14.12055,38.72847
Meyani Hospital ,,,Diagnosis and Treatment,14.3989,37.79216
Mohammed Akle General Hospital,9.27795,40.21022,Diagnosis and Treatment,9.27795,40.21022
Dubti General Hospital,11.7297213,41.0849875,Diagnosis and Treatment,11.7297213,41.0849875
Kebridehar Hospital,6.73271,44.28398,Diagnosis and Treatment,6.73268,44.28395
Fik Zonal Hospital,8.1437711,42.2949225,Diagnosis and Treatment,8.14364,42.29544
Dega habur hospital,8.224557,43.562125,Diagnosis and Treatment,8.224557,43.562125
Gode Hospital,5.95983,43.55176,Diagnosis and Treatment,5.95949,43.55124
Hargelle General Hospital,5.23035,42.17451,Diagnosis and Treatment,5.23035,42.17451
Warder General Hospital,6.973531,45.337246,Diagnosis and Treatment,6.97313,45.33661
JIgJiga referal hospital,,,Diagnosis and Treatment,9.35585,42.78576
Dolo Ado Primary Hospital,4.17906,42.05116,Diagnosis and Treatment,4.17906,42.05116
Addis zemen Health center,12.124449,37.778667,Diagnosis Only,12.124453,37.778695
Arbaya Health Center,12.47875,37.82639,Diagnosis Only,12.47878,37.82639
Kokit Health Centre,12.86721,36.26446,Diagnosis Only,12.8672,36.26446
Ziquala Hospital,12.79174,38.79514,Diagnosis Only,8.79169,40.79514
Sanja Hospital,,,Diagnosis Only,9.01102,40.2973
Woreta Health Center,11.927819,37.700396,Diagnosis Only,11.92779,37.70041
Quara Primary Hospital,,,Diagnosis Only,12.19734,35.9
Yifag Health Center,12.07997,37.72766,Diagnosis Only,12.07997,37.72766
Ambo Meda Health Center,12.11154,37.89206,Diagnosis Only,12.11153,37.89201
Ebnat Health Center,12.129546,38.05575,Diagnosis Only,12.11882,38.0508
Dansha health center ,13.56933,36.97208,Diagnosis Only,13.56931,36.97205
Adebay Health center,14.19496,36.76096,Diagnosis Only,14.19491,36.76095
Shakiso Health Center,5.77348,38.9115,Diagnosis Only,5.77349,38.91152
Mega Health Center,4.06192,38.316,Diagnosis Only,4.06189,38.31604
Xarunta Cafimadka Mugayo,,,Diagnosis Only,9.20674,40.43233
Meda Welabu Hospital,,,Diagnosis Only,8.91446,40.645672
Bulehora Hospital,5.61686,38.24169,Diagnosis Only,5.61689,38.24167
Dolo-Bay Health Center,4.27614,42.06448,Diagnosis Only,4.27609,42.06445
Betsmay-Birayile Health Centre,,,Diagnosis Only,5.235402,37.436409
Erbore Health Center,4.993705,36.848477,Diagnosis Only,8.99371,40.84864
Hana Health Center,,,Diagnosis Only,9.22436,40.13127
Abaroba Health Centre,,,Diagnosis Only,5.235402,37.436409
Turmi Health Center,4.96761,36.48885,Diagnosis and Treatment,4.967563,36.488914
Key Afer Health center,5.519452,36.733751,Diagnosis Only,5.519452,36.733751
 Dimeka Health Center,5.17881,36.54417,Diagnosis Only,5.17382,36.54887
Asaita District Hospital,,,Diagnosis Only,11.57329,41.43361
Kelwan hospital ,,,Diagnosis and Treatment,9.14622,40.98225
Gewane Health Center,10.16151,40.65118,Diagnosis Only,9.16151,4.65117
Abdurafi Health Center,,,Diagnosis and Treatment,13.69876,36.47102
Suhul Referal Hospital,,,Diagnosis and Treatment,14.11381,38.30442
